Account,Title,Subscribers,Views,Likes,Comments,Shares
larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,2000000,1500000,302700,8000,3200
rug,FaZe Rug,8700000,4300000,382400,2200,924
kulinaria.recetas,AGUS LIPORACE,2200000,2100000,182400,469,12700
steven_he,Steven He,4400000,2000000,298800,2400,6300
gabifaye,Gabi Faye,10200000,5000000,249600,1300,2700
matheuskriwat,Matheuskriwat,9300000,2900000,267500,3900,2600
frontal,FrontaL Gaming,945500,2300000,233800,5700,3600
kbandkarla,KB AND KARLA,758100,1900000,272100,883,9000
dylanswagmoney,Dylan,5000,701600,391600,8100,10000
ashkaashh,Ashaley 🦋,2400000,2400000,282200,3200,4100
yourdogsbestfriend,Your Dog’s Best Friend,697200,1800000,285000,2700,6900
cerenyaldz,Ceren Yaldız,9000000,2100000,169300,12000,1800
cyrusdobre,Cyrus Dobre,9500000,3900000,268000,3800,893
juaniquilador,JuanSGuarnizo,7300000,1800000,333800,6600,1500
vincentgiganteee,Vincent Gigante,2000000,2400000,284500,2000,5000
mattcolbo,Your Friend Matthew,211400,912700,454400,2800,8800
emiliamernes,Emilia Mernes,2000000,3500000,509000,1400,1300
initiaraandini,tiara andini,3700000,3300000,363500,1800,2200
coleandersonj,Cole Anderson James,1100000,1900000,311400,2700,5300
la_lerma,LERMITA,10900000,2700000,384200,1200,3300
niti3_,Niti3_,1500000,2500000,380200,1900,3100
stellajero16,Vester Ajero,1000000,1200000,246300,13600,2100
willikatiana,willikatiana,2800000,3900000,225300,4800,437
fedevigevani,Fede Vigevani,12100000,2000000,372400,5500,674
edmatthewstokky,Ed matthews,528000,2500000,226300,3900,4200
brawlstars,Brawl Stars,3700000,1700000,213400,10800,1800
cierraramirezofficial,Cierra Ramirez ,1200000,2900000,469700,1200,2100
ramizeinn,Rami,13300000,3800000,279100,2700,1600
la.maraaa,LA MARA,5600000,2800000,501900,2800,422
joejonas,joejonas,4900000,1900000,249300,2300,7200
riaricis,Ria Ricis,24700000,3900000,373200,1600,1500
pacodemiguel,Paco De Miguel,6200000,1700000,236600,1800,9300
lglinh138,haha,32600,1500000,185100,9200,6900
naple_13,☆Awys☆,187400,4200000,47000,11500,11200
anardreams,ANAR DREAMS 💎,14300000,4500000,146300,5500,1300
machikayt,MachikaYT,11600000,3000000,368200,2400,1600
alena_sahnova,☆𝑺𝑨𝑯𝑵𝑶𝑽𝑨☆,12000000,4100000,389600,1300,1400
doge_g,:),292500,1400000,284000,1700,9200
calebcoffee,Caleb Coffee,10300000,2700000,408500,3100,840
rosalia,La Rosalia,15600000,3100000,460000,2100,978
frankiefictitious,Frankie Fictitious,1100000,3300000,969400,727,626
thinhung99,Thị Nhung,5600000,2800000,345500,3200,1300
judiitharias,Judith & Ángel 🙋🏻‍♀️🙋🏽‍♂️,15400000,5100000,471200,1300,475
nazdej,Naz Dej,7300000,3100000,253600,2400,3200
nick.digiovanni,nick.digiovanni,8200000,2900000,416800,2300,1200
itayvargas,Itayvargas✨,17200000,1600000,330400,1800,6100
damedamian,Dame,4200000,1600000,644400,2100,1900
morimura,MoriMura🍕,5800000,1700000,349600,3400,3600
lgndfrvr,LGNDFRVR,15400000,2900000,276000,1600,3600
dababy,Dababy,6500000,1900000,314900,4900,2200
jaxwritessongs,Jax,8100000,1800000,252200,4800,4600
ava_love33,Ava Love,2600000,2600000,396600,3200,758
francis.bourgeois,Francis Bourgeois,2200000,2300000,244200,2400,4900
charlyokei,Charlyy,3500000,3300000,349000,2300,1200
oli_natu,Oli Natu,7200000,3200000,414000,1500,1600
myggglf,meyes,186800,3400000,211700,4100,1500
oblomoffrecipe,oblomoffrecipe,4900000,2700000,235800,1500,4800
interesting.thingsz,News For You 🌍,3700000,2700000,313000,3400,1300
yefersoncossio,Yef,10300000,4400000,395000,1500,804
elinaageeva,ELLI,1800000,2300000,337200,1100,4100
official_eudy,Eudy,6900000,983100,317800,4500,8100
dez.thelez,Dez,2700000,1300000,316400,2600,6900
theevaelfie,Eva Elfie,3600000,2500000,192100,6300,1800
hotramyun,Hotramyun,669000,3800000,457000,1700,551
ryanbakery,ryanbakery,996800,2000000,268800,3400,3800
joesantagato,Joe Santagato,1300000,1800000,200600,1700,9200
priimoraa,Prii Moraa,12300000,3000000,476700,1700,1000
tunico80,🌠Antonio Tonon🌠,5200000,2400000,302000,2600,2800
boywithuke,boywithuke,3400000,2300000,322300,4100,1000
jacobsutherland,Jacob Sutherland,346800,1200000,264900,4400,7500
mimiermakeup,Mirta Miler,13100000,3500000,473500,1700,567
infinite,Infinite,7000000,3400000,295900,3000,754
payton,“payton”,15300000,1600000,223900,6900,3400
asyrafjamall,A T A P,1900000,5000000,241000,886,2200
matheusevitoriaofc,Matheus e Vitoria,6400000,2700000,247800,2500,3000
veydi_rush,veydi_rush,7600000,2500000,355700,1300,2800
fedez,fedez,5100000,1400000,303200,2100,6500
wasyanka,Василий,2200000,2600000,141800,1000,9000
augustogimenez,AugustoGimenez,11400000,3000000,398100,2000,973
anggun_mans,anggun✨,12900000,5600000,197900,2100,1200
jigpx,Jigar Patel,4900000,2400000,219300,5700,1100
dillajaidi,Dilla Jaidi,989600,2800000,365600,2000,1600
_vincealarcon,Vince Alarcon,5500000,4600000,364200,1100,1000
rubentuestaok,Ruben Tuesta,9600000,3500000,274800,914,2800
romanlolo,Roman,702700,1800000,399500,3200,1700
sibenitoo,SiBenitoo,4400000,2700000,231900,2700,3100
larrywheels,Larrywheels,1400000,1900000,205700,3000,6000
qwer_roblox2,[pro] [sarwg]🛐,10700,954300,217600,11700,5300
xobrooklynne,Brooklynne :),10700000,2400000,286900,4600,465
sveta.marcel,Света Марсель,3500000,3600000,285500,1400,2000
madelineaford,@madelineaford,1500000,1500000,665200,2300,1200
djsandyremix,djsandyremix,175700,2300000,207800,4700,2600
jarvali,Jarvis,2100000,1600000,384200,3600,2100
monika.kociolek,Monika Kociołek,2500000,1600000,267400,6300,1900
hellmanretailgroup,Hellman Retail Group,4100000,1800000,212800,7600,1800
jrayssaleal,Rayssaleal💚,4400000,3900000,277700,2600,600
ugolord,⚖️ The TikTok Attorney ⚖️,4900000,3200000,176200,5700,514
antrobo10,Anthony,337100,1200000,169400,4000,13600
dermdoctor,Dr. Shah,12600000,4100000,216100,1000,2900
zakuryy,Isaac Kururangi,288300,1500000,203800,2500,8800
nicholas_crown,Nicholas Crown,1300000,4000000,633700,818,556
lukman_nj,lukman nj,3300000,3400000,315400,2600,631
leidys_sotolongo,Leidys Sotolongo,11200000,3200000,408600,2000,572
bsnano1,Nano,11300,2000000,254800,3400,3300
dagibee,dagi,1000000,2500000,334200,2200,2000
jensjulius_tejlgaard,JensJulius Tejlgaard,440300,2500000,174000,1400,6400
lourdasprec,LOURD,8500000,1000000,302300,7000,4200
gianlucavacchi,Gianluca Vacchi,21400000,3400000,255800,2500,1400
garyowencom,Gary Owen,1900000,2000000,202600,1200,7300
itsizail,Izail ⚡️,4700000,1300000,209700,7600,4600
anthonnyswagg3,anthonnyswagg,8100000,2300000,220000,3000,3800
carloscastroes,Carlos Castro,10100000,2600000,289600,551,3900
suavexavier,Savvy,10500000,3000000,247700,2200,2300
cos_s1,N COS,22300,1700000,179400,3500,7400
kkarrrambaby,karrambaby💕,14000000,2800000,441000,1700,1000
leanadeeb,Leana Deeb,3500000,2700000,407100,953,2000
gabimfmoura,Gabriela Moura,7000000,2600000,329200,1500,2300
ox_zung,원정맨 WonJeong,39100000,2700000,320600,2900,942
gb0012,gb0012,1700000,2000000,222800,3800,3600
laurathesimp,mommy sage,706400,1800000,285100,2500,3900
barisresmiii,barış dada,11500000,4200000,234000,2300,1000
ikendrena,Meike,6700000,2600000,393900,2700,524
joshrichards,Josh Richards,25600000,2400000,366900,2200,1500
adamw,Adam W,15400000,2800000,304300,1300,2500
tylerashtonn,Tyler Ashton,4000000,1400000,222100,8600,1700
preppyclaws,preppyclaws,2700000,1600000,220500,8300,1100
hasanmucci,hasanmucci,1600000,2900000,181900,2900,3200
littlejem4,LittleJem,1800000,2100000,302600,3800,1200
rockstar.bosa,B O S A🐐,1800000,975100,256800,2900,9800
nabela,nabela,7200000,2600000,411900,1600,1400
rawanfahmii,rawan,3300000,3900000,274800,1900,1100
faryanggaa,Ryann,3700000,1700000,339000,4100,1400
gordonramsayofficial,Gordon Ramsay,30900000,3000000,267800,2800,1100
danivallem,Dani Valle,3300000,1600000,116100,765,16200
louuuyoung,louuuyoung,467600,1100000,155100,4300,14000
gorowok21,MAFIA BANGLADESH,352800,2100000,202200,5600,1800
thatlittlepuff,ThatLittlePuff,22900000,3300000,397600,1200,1200
milaalawiyah,Mila Alawiyah,3800000,4000000,401700,1300,613
nattinatasha,Natti Natasha,14300000,2800000,352500,1700,1500
los_escachaitos,Los_Escachaitos,2600000,2400000,198900,3300,3200
annaxsitar,anna x,11500000,3500000,537300,835,803
kingsalmanan,Doni salmanan,828500,4800000,336800,0,1900
raulbazanm,Raul Bazán,4200000,4100000,247800,1600,1500
lexychaplin,Lexy,2900000,2100000,338800,3600,739
lucasvarelaaaa,Lucas varela,2300000,1600000,219800,955,7700
mariabecerra_22,Maria Becerra,5600000,2700000,358200,2100,1100
jailyneojeda,Jailyne Ojeda,16600000,3400000,299500,1600,1400
khonpetch56,ขนเพชรบ้าจี้,3100000,2300000,206200,2500,3800
magaly.rds,Magaly Rodriguez,495600,3000000,310200,2300,928
crisdevilgamer7,CrisDevilGamer,4200000,2000000,324100,4000,598
lizzy.schneider,Lizzy Schneider,243300,2900000,489100,996,1100
agelo_9,عقـيل 👨🏾‍💻,536200,1400000,130700,7100,8600
volvydooya,Volvy,650300,1600000,342600,2300,3200
katkatyeah,KATKATYEAH,908200,3000000,425600,1300,1000
datvilla94,🔥Đạt Villa🔥,3700000,2200000,228000,4100,1900
superjekitaa,Jeka 24,2900000,2100000,324600,3700,573
ianboggs,IAN,10200000,3100000,371500,2300,264
emilymariko,Emily Mariko,9400000,3600000,325200,1500,916
lossiblings_,Lossiblings🍭,22000000,2700000,347000,1800,1300
beca,Rebeca Barreto,20900000,2300000,287400,3000,1300
schrodingerlee,lee || shower stomper,1100000,2500000,356100,1600,1600
owen.han,MANGIAMOH,915400,2900000,210700,941,3800
apple,apple,1200000,34300000,147100,0,565
avani,avani,39700000,2000000,311300,3200,1300
ajravsss,Aj Raval,8000000,2700000,355300,2300,626
tootymcnooty,TootyMcNooty,6600000,1500000,323400,1900,4100
dustinvogelbacher,Dustin vogelbacher,624200,1300000,78300,1300,26300
rachsullivan__,Rach Sullivan,1000000,3200000,387200,824,1400
linhkool1993,Linh Kool,4200000,4300000,323300,1400,598
420althea,althea,1200000,1600000,224300,4600,3200
lonely.moods,:),354500,815500,214000,5400,10600
yamandihati,Yaman Dihati,267700,2700000,78900,8200,4800
cauamacedo,Cauã Macedo,10000000,2000000,292300,4400,425
mattiastanga,Mattia Stanga,2200000,1300000,215000,1700,8200
annemarie,ANNEMARIE,6200000,3100000,366000,1900,526
_nch04,𝐍𝐠𝐮𝐲𝐞̂̃𝐧 𝐇𝐚̉𝐢,4600000,4400000,302400,1300,746
r.rikiansyah,RANS || 𝐏𝐑𝐄𝐒𝐄𝐓,1900000,1100000,154600,1500,14500
rudy_willingham,rudy_willingham,4300000,3500000,303600,490,2100
bikedasher,Patrick,903100,3600000,338700,1500,773
rauwalejandro,rauwalejandro,8000000,1800000,303700,3700,1200
thatrachelharper,Rachel Harper,461200,1300000,204800,928,9100
jonata_26,Jonata🤩,3300000,1800000,296900,1300,3700
luancarvalhosc,LUAN CARVALHO,159800,1100000,231200,6900,3500
outofcontextskyrim,outofcontextskyrim,72400,1500000,184000,1800,8000
wuesilva,Wue Silva,10200000,2200000,244800,2900,2200
karll9_,Bantu follow ya tq❤️,755400,2800000,187300,3000,2100
yimotapir,YIMO,3200000,1200000,165700,1200,12200
na_xapaktepe,Алан Гедыгушев,3900000,2200000,109200,554,10500
kristenhanby123,Kristenhanby,9500000,3900000,262600,769,1900
borisao_blois,Borisao Blois,2900000,2300000,218300,2400,2800
duolingo,Duolingo,2900000,1500000,253600,4100,2900
marxff_,mar💘,987300,2000000,206500,5500,953
popokbolong,PARHANCUK!,1600000,1700000,322800,3200,1600
jimmydarts,Jimmy Darts,5400000,1600000,261600,5200,1100
pes_strange,Стивен Стрэндж,8500,1800000,177400,285,8000
teddycollects,TeddyMC,194200,2000000,242300,2600,3000
moni_lina,MoniLina,14300000,8700000,159300,474,1400
soysuco_ff,Suco Ismael,3400000,2100000,302600,3700,412
casaltoxico,✨ Casal Tóxico ✨,5800000,2300000,336200,2000,1400
nada_m7amed,دودا🦹🏻🤍,5500000,2400000,252500,2500,1900
lynaperezxo,Lyna Perez,8000000,2600000,311500,1600,1700
daveardito,Dave Ardito,8200000,1900000,323000,1900,2300
kokoobetz,Koko,493500,1600000,291000,1200,4400
oldtimehawkey,Old Time Hawkey,4800000,1500000,268600,3300,3100
babehojol,Ary,1200000,1900000,214200,2400,4000
somi_official_,JEON SOMI,5500000,1700000,429300,2900,624
ivanovik.83,ivanovik.1983,172700,2300000,91500,1100,11100
avanireyes,Avani👽,3800000,3000000,134700,4900,1400
4yilol,ayil🧃,34800,1600000,267400,1700,4300
lorengray,Loren Gray,54400000,2400000,354800,1500,1400
countingschleeps,blake,2000000,2200000,378200,1400,1600
eddievr,Eddie,9000000,3400000,367600,1100,917
acrylics.baby,Acrylics💅💅,154200,2600000,273700,3000,540
mispastelitos_,Mis Pastelitos,8600000,2400000,399200,1200,1400
nathypeluso,Nathy Peluso,5000000,2300000,388000,1700,1100
dyaahh19,AURA Dyah,6700000,2600000,98600,9600,385
qpark,Q Park,29800000,2300000,190300,2500,3200
bluefacebleedem,Blueface,8800000,2300000,293200,2300,1400
gilmhercroes,GIL CROES,35000000,3300000,171000,2000,2400
marisol.viola,marisol viola,815400,2100000,220200,2300,3200
spider_slack,spider_slack,30000000,3500000,279300,1400,1200
attahalilintar,Atta Halilintar,9400000,3000000,341700,1600,795
alongcameabby,Along Came Abby,3300000,1800000,195800,1800,5400
foodtimecali,Juan C | RECETAS FOODTIME,3500000,1800000,129000,311,10300
livvy,Olivia Dunne,4800000,2400000,279800,2200,1400
ingratax,ingrid,14100000,3000000,483300,1300,429
meredithduxbury,Meredith Duxbury,14800000,3100000,398700,1600,412
r___.89,𝑀𝑖𝑠𝑡𝑒𝑟 𝑅𝑒𝑒𝑚𝑎 😾✨.,2900000,1900000,267200,3100,1700
seungbin030708,승빈🍥,4400000,3300000,350600,1400,681
herranwalt,Herr Anwalt,4900000,1700000,208600,4000,2900
jaccleexs,จัสมินชอบกินแซลม่อน,3800000,2600000,461000,1700,375
justthenobodys,JustTheNobodys,6700000,1800000,195000,2400,4500
hallebailey,halle,712900,1500000,301100,4100,1300
jamal.jamael,Karim Jamal,2500000,1700000,228000,3100,3100
abrunalouise,Bruna Louise,4400000,2100000,317500,951,2700
williwhey,williwhey,7500000,1900000,229400,1400,4100
briggi_bozzo,Briggitte Bozzo,20000000,4900000,430300,539,600
pablitocastilloo,pablitocastilloo,4000000,1700000,162900,1100,7900
emilyfauver,emily&ella,3000000,2200000,344100,1100,2100
polinka_girla,Полинка,4300000,3400000,329700,1300,823
discord,Discord,2900000,1700000,292900,4100,735
camilo,Camilo,27300000,3300000,284600,1200,1300
dadansapta_irwn,DADANN,1300000,1400000,187100,4100,5000
mikasalamanca,Mikslmnc,9700000,2700000,302900,1400,1500
benoit_chevalier,Benoît Chevalier,8000000,1600000,177700,4000,4300
soyalexquiroz0,soyalexquiroz,4900000,1800000,267400,1600,3300
panarinkaa,Кукояки,7000000,2600000,345300,1100,1500
esperansagrasia,Esperansagrasia,1600000,1300000,226300,1500,6500
kopke613,kopke613,3500000,1200000,142200,1900,12500
leirbag____,LEIRBAG EL FARAÓN,1400000,2300000,140700,2200,5100
marianne.la.mesera,Marianne 🍸,2800000,2100000,493600,1300,935
shawnmendes,Shawn Mendes,8400000,1200000,242100,4100,3800
gavrilinaa,Юлька Шпулька🕷🕸,15800000,2300000,275300,2000,1700
alitaalvarez5,Alita Alvarez,7900,1200000,94100,2300,18200
pipepunkoficial,Pipepunk,991200,1800000,397800,573,2700
benkielesinski,Ben,2600000,1500000,296800,3400,2000
heymynamesluna,Luna The Pittie,4300000,1500000,176400,1400,7300
_canalf,🦁 Can Yıldırım 🦁,1800000,2600000,220800,3500,544
andy.and.michelle,Andy & Michelle,2700000,2400000,224200,1600,2800
mydaddysteve,Steve,635100,2000000,234300,1900,2900
savv.labrant,Savannah LaBrant ,29200000,2600000,377300,1800,491
pekruuu,pekruuu,1500000,1400000,205400,3500,4400
lagaitagaitan,Carolina Gaitán (La Gaita),4700000,3300000,278400,1400,1100
ayaatanjali_,Aya😍,5600000,1800000,293300,3100,1200
jeromepolin98,Jerome Polin,3900000,1200000,226300,6900,1500
hmzahbate,حمزة حباتي,3300000,4100000,246300,1200,1000
vzelivx,vzelivx,731300,2100000,271200,2600,1300
noordabashh,noor,7900000,2000000,394900,1400,1400
padre_patrick,Padre Patrick Fernandes,2200000,1100000,162000,1800,10600
tiahranelson,T✨,3700000,2100000,284700,2100,1600
keshi,keshibeats,684100,1600000,266700,3100,2000
nickandcarrie,Nick&Carrie,5000000,2600000,339100,1100,1400
vivi,Vivi,9800000,2300000,287500,2700,642
fiersabesari,Fiersa Besari,1500000,1100000,140800,1100,12500
royroy1228,Leeroy Wong,59700,1300000,157700,6100,4900
saesiii,saesi 💥,4400000,3300000,178400,1200,2500
lilyachty,lilyachty,7800000,1800000,244400,2700,2200
brodywellmaker,Brody Wellmaker,18400000,2000000,257900,1800,2400
dontstopmeowing,Kareem & Fifi,8800000,2300000,271400,1500,2000
gevids,GEVids,10200000,3300000,188400,2600,854
fahmi.nm,Fahmi,7000000,2300000,284400,2400,883
buithanhtuyen2003,🌟𝐓𝐮𝐲𝐞̂̀𝐧𝐗𝐮 𝐓𝐕🌟,1600000,2100000,315300,2800,406
semiraminta,Yeliz Korkmaz,11100000,2200000,153700,5800,480
nufc,Newcastle United Football Club,791600,1200000,180900,5100,4600
fortnitekanal.exe,Fortnitekanal.exe,1100000,1400000,179400,7000,1500
yizaroff,YIZARO,3500000,2100000,305500,2500,758
zdotss,ZDOTSS,801600,1500000,197300,2500,4600
baldybrobryzxz,celloszxz🧑🏻‍🦲,10100000,3200000,279300,2100,260
ererervin,{Ervin||𝙎𝙤𝙛𝙩𝑩𝑶𝒀𝑺},77600,2300000,250200,2300,1400
mexicocookingclub,Calixto Serna,10100000,2000000,222300,1800,2900
theawesomelawsons,Whitney Lawson,2700000,2100000,261500,1500,2300
hansdowel,Hans Dowel,4100000,2100000,284900,2200,1300
jayandsharon,Jay & Sharon,1900000,1500000,254000,1500,3900
that_vs_them,that_vs_them,1300000,1400000,190800,4900,2900
miichaelltran,Michael Tran,6000000,2200000,285700,2000,1300
pedrolzc,Pedro,367000,1400000,601200,1600,867
daisykeech,Daisykeech,6600000,2900000,289600,424,2100
julesleblanc,jules,18600000,2100000,389100,1600,871
samplertimes,Lawrence Becker,1500000,2700000,333100,934,1300
kasurita_millonario,Soy_oxma,3000000,1900000,297800,3100,507
itskingchris,KingChristian,15000000,1600000,319500,2100,1900
khaicakhia99,Khải Cà Khịa,3500000,3300000,300200,1700,376
janeydm,รัชนก สุวรรณเกตุ,14000000,3200000,415400,1300,293
danielthrasher,Daniel Thrasher,1600000,1800000,376500,1100,1900
leohwan,Leo Hwan,1100000,1200000,251400,3800,2900
milligram96,Millie Ford,1300000,1600000,209300,2300,3800
jordanemel,Jordan e Mel,8100000,3100000,185900,1600,2000
michaeloftiktok,Michael Famous Biologist,730200,1700000,230800,3100,2200
erfaina88,Damiano Er Faina,676800,1200000,142000,4700,7700
thehypehouse,The Hype House,19800000,2700000,358500,1700,387
brunoberti,Irmãos Berti,8700000,3400000,135400,3200,1200
thedumbcatshow,meekael myerz,1400000,1000000,268900,2300,4900
sahponcio,Sarah,1300000,2500000,364300,1400,858
jamesneese2,James Neese,2000000,1200000,149200,6400,4800
genshin_impact_ru,Genshin Impact RU,1400000,968200,259300,4600,3400
saydenseay,Sayden,3200000,1000000,251200,2600,5400
caraos,CARAOS🔮,4000000,1100000,310400,3100,2800
bessan_esmail,بيسان اسماعيل - Bessan Ismail,9800000,2000000,183900,3200,2200
_catben_,Catherine Benson,8700000,2100000,222300,2000,2200
footballszone,Football,372600,1900000,231400,1800,2900
john_malecki,John Malecki,286700,4000000,178100,1200,1600
keemokazi,KEEMOKAZI,24300000,2300000,446000,1500,424
cookingwithlynja,Lynja,8900000,2600000,254300,1600,1400
luisasonza,Luísa Sonza,13000000,1900000,291900,2500,1100
joe.bartolozzi,Joe Bartolozzi,17200000,1700000,292300,3400,578
mrjrs2,MRJR YT,6700000,1700000,259100,3000,1400
giovannidasrimass,Giovanni silva,6500000,2100000,172200,2500,2900
laurensulli,lauren sulli,83400,1100000,201100,3000,5800
anxietycouple,Anxiety couple,10300000,3000000,300800,872,1300
dilaraaduman,Dilara Duman,1500000,3000000,202900,1400,1900
jo1_gotothetop,JO1,320400,1100000,96600,3500,15400
rad.miru,🌜РАДМИР🌛,8400000,5700000,287600,846,351
spicyycam_,Spice The King,17700000,2400000,299100,2100,608
4q2y,دنوو,852100,2300000,165900,4000,1000
xibibrothers,Xibi Brothers,7100000,2700000,326600,852,1300
in_the_nic_of_time,Nic Suarez,5200000,2100000,297200,2300,766
snarkymarky,mark,4600000,1400000,253600,2900,2500
mikeyyk88,Mikey,176900,1300000,176700,2900,5400
leftistjayce,Jayce,33600,1100000,203200,3000,5500
yousefmousa.1,Yousef Mousa 💙,380900,2200000,130600,2300,4300
ryanhdlombard,Ryan Lombard,7600000,1700000,262400,1100,3300
hoaminzy_hoadambut,Hoà Minzy,3800000,3300000,291200,1200,744
orange_egypt,Orange Egypt,390400,11300000,101000,788,869
meosimmyyt,Mèo Simmy,3500000,1300000,218200,5500,1100
incorrectlyroce,Roce Ordoñez,4200000,1800000,319900,1700,1600
danissntss,danis,182300,1700000,403100,1800,1000
yarenalaca,Yaren Alaca,5400000,1900000,126400,7400,611
galkina_anechka,Galkina Anechka,2900000,3900000,157600,2400,683
noted99,AMOY99,21300,1100000,85400,30,20700
domi.nate,Nate Drew Mollick,936800,1100000,169600,4100,5900
miuka.povs,Miuka.Povs,2000000,2100000,319300,2200,585
zodiac.boyfriend,Zodiac Boyfriend🪐🔮,1400000,1200000,188100,2800,5400
kaelimaee,kaeli mae,7900000,2400000,324200,1000,1400
fabiola.baglieri,𝐹𝑎𝑏𝑖𝑜𝑙𝑎,11200000,2700000,384100,1500,265
tasyakamilaofficial,Tasya Kamila,368500,3100000,270800,1200,966
vibez..07,<3,363800,1100000,218800,2400,5300
danisoomin,daniela kim,7600000,2100000,307400,1700,1200
preston,Preston,8900000,2500000,190000,3200,705
xoteam,XO Team,28200000,2900000,309400,1400,661
luvanthony,Anfony ,10900000,2200000,402200,1400,662
mishayoung,Миша Городецкий,3600000,2300000,198500,1700,2400
king_misr,🎨محمد فاروق الرسام🎨,1200000,1600000,156300,3800,3500
dasigantung,Dasi Gantung,4700000,1800000,386300,1400,1200
shehabeldin100,Shehabeldin,6200000,1900000,236100,1500,2500
clearconfused,ClearlyConfused,284900,850700,197500,724,10100
virtualontop.mc,Virtual,130600,1300000,232200,3500,2500
cassholland,Cassie Holland,1200000,3200000,383000,852,630
traphousesports,Depressed Cowboys Fan,1700000,1000000,195400,1900,7400
adhityappeo,Adhitya yappeo,3800000,2300000,360800,1600,620
300_rt,علي نافع,416200,3300000,131100,3700,459
palmertrolls,Ben Palmer,2400000,2300000,262800,1400,1600
revxte,Revxte,252000,2800000,195100,648,2600
itsniane,niane,1600000,1000000,253800,2100,4900
_goodvibespositive_,Good Vibes Positive,2100000,1100000,151100,933,9800
saniur_muhamad,سـنيور,836700,2300000,155000,2300,2700
unique.planet,unique.planet,5400000,1700000,457300,1300,961
jaydafnwayda,JAYDA WAYDA,3000000,1700000,304200,1400,2100
kerri_okie,Kerri,2600000,1200000,140100,8800,1800
indrakenz,Indra Kesuma,5300000,2700000,163100,3700,301
miadio,Mia Dio,4600000,1200000,255200,1400,4400
ajgreene15,AJ📺,2700000,2100000,288700,855,2100
leanemarts,leanemarts,3300000,1900000,347900,2100,549
jumpersjump,Jumpers Jump Podcast,6000000,1700000,266800,1500,2400
truenorthoutdoors,HOOO-LY THAT’S GOOD,781700,2100000,62800,286,13000
gregisms,Gregisms’ Neighborhood,2100000,893200,184800,3600,7100
just_dt,Dt,8900000,1600000,187900,2600,3400
katiavlogss,KATIAVLOGS🐒,13500000,2100000,340500,2000,412
how.kev.eats,how.kev.eats,1400000,2400000,294200,1800,680
flashygman,Canon & Garrett,775600,2000000,252700,1400,2000
tonylopez,Tony,23100000,2100000,281700,2200,733
christiantye,Christian Tye,2700000,1800000,226300,1500,2700
itsjojosiwa,JoJo Siwa,40400000,2900000,313900,1500,374
dobretwins,Lucas and Marcus,34700000,2300000,220300,3100,355
devonrodriguezart,Devon Rodriguez,23300000,3700000,224900,1200,802
stoveraymond,Steve Raymond,1900000,1100000,393100,2600,1300
victormelo,Victor Melo,18200000,1800000,286100,1900,1400
thestradman,TheStradman,3000000,2100000,228000,2300,1300
sofie.hagen,Sofie Hagen,100300,1200000,252700,1900,3600
olivertree,Oliver Tree,12300000,3000000,213800,1400,1200
shoesswap,shoesswap,538300,2100000,360500,1300,908
omervarolresmi,zahitaga,213500,2000000,141100,1500,4400
giangiu88,GiaNGiu,2400000,2100000,231900,1200,2200
pietro_morello,Pietro Morello,2000000,1800000,304600,2100,1000
shenseea,SHENYENGofficial,2200000,1800000,286800,2000,1300
iloveyourmomscatt,,8200,1300000,159300,4900,3300
duvanjimenez,Duvan Jimenez,574500,1500000,153100,1800,5400
cardi_videos,CARDI B,1800000,1900000,196100,955,3500
dariusdobre,Darius Dobre,7000000,2000000,213200,3600,372
lilyxgarcia,Lily Garcia,8200000,1700000,299000,2400,884
rodrigoomarques,Rodrigo Marques,1200000,1400000,347100,982,2400
yourrkayesss,kayess,4600000,1400000,184800,5300,980
flickerspark_,flickerspark_,909400,1800000,373300,790,1600
alexailacad_,Alexa Ilacad,1800000,2400000,272800,1700,857
vietphuongthoa98,Việt Phương Thoa,9500000,2600000,315700,1700,322
bipbrome,Lena 🎏,4300,750700,213400,4300,5900
angelac0123,Angela,2000000,2900000,215800,792,1800
bussdownbusboy,Matteo,14300,1600000,144900,3600,3400
westbrouck,Mattie,8200000,1700000,310200,2300,876
adadieee,Adie,422500,886800,222800,5000,3200
huba333,HUBA 후바,8300000,5300000,197800,821,720
thegoodliars,The Good Liars,1300000,1900000,129600,3600,3200
outtpig,Cameron Perez,1400000,1600000,299400,1700,1800
dictionarei,Reizuka Ari,1800000,1900000,309600,2300,453
poki,Pokimane,6300000,1700000,148600,2400,3900
abrahahamflorestw,Abraham Flores,2300000,1500000,256800,1100,3100
cznburak,cznburak,56000000,2900000,170600,2000,1200
jennypopach,Tik Toker,6100000,3300000,243300,1700,307
galandjosh,galandjosh,2500000,1200000,263900,2600,2600
anna..paull,Anna Paul,1800000,2000000,367700,1600,591
qonitcah,Qonitcah | Health Education,588000,1800000,203700,2900,1400
juanchimy,Juan Lopez,2500000,1500000,319300,2000,1300
vidi.aldiano,Vidi Aldiano,632300,2900000,240800,1500,821
giathilinh,Gia Thị Linh,1700000,3900000,173900,0,2300
soupytime,georgie,5000000,1600000,335300,2000,943
me_viki,🥀 Виктория 🥀,209200,1400000,115700,9200,778
salt_hank,Hank,1800000,2000000,203900,1300,2600
riumbau,Hector Riumbau,2000000,1200000,155300,1600,6700
