Account,Title,Subscribers,Views,Likes,Comments,Shares
lyrico__,ʟʏʀɪᴄᴏ,2800000,3000000,369500,6400,44200
00h.88m,Gui,2500000,4300000,602300,2500,18800
pinchulli,Ирина Пинчук,2100000,5400000,566600,2000,15700
soydekko,Soydekko,4400000,5800000,1100000,7700,853
thebenjishowfr,benji,5200000,5400000,717500,5000,7900
thelivingtombstone,The Living Tombstone,1200000,3900000,908900,9100,4800
_monaalawi,mona,11200000,7400000,952300,4600,2400
uncletics,Uncle Tics,3700000,3800000,430200,3300,27200
soojinicoreana,Chingu Amiga,16500000,7500000,1200000,3800,1700
agc.andy,andy,2400000,3500000,851000,6800,9400
dima_maslen,Дмитрий Масленников,4500000,6000000,648600,10400,2100
girlsontop_sm,Girls On Top,1000000,4800000,1000000,5900,3700
nicocaponecomedy,nicocapone.comedy,18900000,9300000,516900,2900,7100
mrbeast,MrBeast,32900000,4300000,642200,13500,3300
selinamichelle96,selinamichelle96,20500,3500000,650700,3100,17200
billlnai,nai,8300000,5000000,1200000,4900,3100
give_my_oscar,give_my_oscar,862100,3900000,626900,2700,15700
piperrockelle,Piperrockelle,8200000,4300000,527100,17000,2700
amauryguichon,Amaury Guichon,2500000,5700000,672500,4500,7000
sofarsabi,SOFARSABI,5100000,6100000,755600,7600,1600
joaoguilherme,joão guilherme tlg?,6300000,5500000,726100,8100,2400
c4tluvr666,kennedy,2200000,5300000,1100000,4900,2000
zachking,Zach King,67100000,10600000,709800,3200,2200
ayesebastien,Sebastien,7000000,4500000,716500,3900,8900
jake2r,"Jake2r, Ph.D.",1800000,2900000,666500,3900,17000
murda10k,MURDA10K,1800000,3700000,1000000,5000,5900
itssassagurl,Sassa Gurl,4600000,4300000,665700,7300,6900
gingerbilly1,GingerBilly1,5600000,2800000,322600,3000,41200
beniju03,BENIJU,2100000,4200000,679400,11100,2800
madisonpettis,Madison Pettis,2500000,5600000,980200,3100,4100
dixiedamelio,dixie,57000000,6200000,705400,5900,3000
elrodcontreras,ROD🥴,39300000,5000000,801600,8200,1500
